年,放送期間,タイトル
,7月8日 - 9月23日,神のみぞ知るセカイ 女神篇
,7月11日 - 9月19日,銀の匙 Silver Spoon（第1期）
,7月12日 - 9月27日,ガッチャマン クラウズ
,7月13日 - 9月28日,ふたりはミルキィホームズ
,10月1日 - 12月24日,ミス・モノクローム -The Animation-
,10月2日 - 12月18日,境界の彼方
,10月3日 - 2014年4月3日,凪のあすから
,10月3日 - 12月19日,アウトブレイク・カンパニー
,10月3日 - 12月19日,IS〈インフィニット・ストラトス〉2
,10月3日 - 2014年3月27日,キルラキル
,10月5日 - 12月28日,リトルバスターズ! ?Refrain?
,10月6日 - 12月22日,てーきゅう（第3期）
,10月7日 - 2014年3月31日,ガンダムビルドファイターズ
,10月7日 - 12月23日,機巧少女は傷つかない
,10月7日 - 12月23日,のんのんびより
,10月7日 - 12月23日,蒼き鋼のアルペジオ -ARS NOVA-
,10月10日 - 12月26日,革命機ヴァルヴレイヴ（第2期）
2014,1月4日 - 3月29日,生徒会役員共*
,1月4日 - 3月22日,最近、妹のようすがちょっとおかしいんだが。
,1月5日 - 3月30日,ノブナガン
,1月5日 - 3月30日,バディ・コンプレックス
,1月5日 - 6月22日,ノブナガ・ザ・フール
,1月5日 - 3月30日,となりの関くん
,1月8日 - 3月26日,中二病でも恋がしたい!戀
,1月8日 - 3月26日,未確認で進行形
,1月8日 - 3月26日,お姉ちゃんが来た
,1月9日 - 3月27日,銀の匙 Silver Spoon（第2期）
,1月9日 - 3月27日,桜Trick
,1月9日 - 3月27日,pupa
,1月10日 - 3月28日,"Wake Up, Girls!"
,1月11日 - 5月24日,ニセコイ
,1月12日 - 3月30日,ウィザード・バリスターズ 弁魔士セシル
,1月15日 - 3月19日,いなり、こんこん、恋いろは。
,4月3日 - 6月19日,selector infected WIXOSS
,4月5日 - 9月20日,キャプテン・アース
,4月6日 - 6月29日,ラブライブ!（第2期）
,4月6日 - 6月22日,ブレイクブレイド
,4月6日 - 6月22日,一週間フレンズ。
,4月9日 - 6月25日,ノーゲーム・ノーライフ
,4月10日 - 6月26日,ご注文はうさぎですか?
,4月10日 - 6月19日,龍ヶ嬢七々々の埋蔵金
,4月10日 - 6月27日,シドニアの騎士
,7月3日 - 12月18日,白銀の意思 アルジェヴォルン
,7月3日 - 9月18日,RAIL WARS!
,7月3日 - 9月18日,普通の女子校生が【ろこどる】やってみた。
,7月5日 - 12月20日,ソードアート・オンラインII
,7月5日 - 9月20日,アルドノア・ゼロ（第1期）
,7月5日 - 9月27日,戦国BASARA Judge End
,7月6日 - 9月28日,人生相談テレビアニメーション「人生」
,7月6日 - 9月21日,さばげぶっ!
,7月7日 - 9月22日,ハナヤマタ
,7月9日 - 12月24日,ヤマノススメ セカンドシーズン
,7月10日 - 9月25日,残響のテロル
,7月10日 - 9月18日,PSYCHO-PASS サイコパス 新編集版
,7月11日 - 9月26日,六畳間の侵略者!?
,7月11日 - 9月19日,信長協奏曲
,10月2日 - 12月25日,旦那が何を言っているかわからない件
,10月2日 - 2015年3月26日,ガンダム Gのレコンギスタ
,10月3日 - 12月19日,selector spread WIXOSS
,10月4日 - 2015年3月28日,クロスアンジュ 天使と竜の輪舞
